open-vm-tools,V,vmware tools,
xf86-video-vmware,V,vmware video,
xf86-input-vmmouse,V,vmware mouse,
mesa-libgl,E,opengl,
xorg-server,E,Display server,
xorg-xinit,E,Display server boot,
xorg-apps,E,Display server utilities,
iw,E,Utility for wireless devices,
pulseaudio,E,Sound system,
wpa_supplicant,E,Cross plateform supplicant for WIFI,
openssh,T,Remote login tool for SSH protocol,
htop,T,Interactive process viewer,
qtkeychain,T,Qt API to store passwords,
ncdu,T,Disk analyser,
arandr,T,xrandr GUI,
netcat,T,Read and write to network,
xsel,T,Manipulate the X selection,
lxappearance,T,Theme switcher of LXDE,
keepassx,T,Secure password management,
polkit,T,Control system wide privilege,
xcape,T,Configure modifier key,
bc,T,Calculator,
rsync,T,Tool for transferring and synchronizing files across computer systems,
wget,T,Tool for retrieving files using HTTP HTTPS FTP and FTPS,
fzf,T,Command line fuzzy finder,
siege,T,Http load testing and benchmarking utility,
imagemagick,T,Convert edit or compose images,
unclutter,T,Hide the mouse after short period of time,
tmux,M,Terminal multiplexer,
tmuxp,M,Configure tmux session + windows + panes via config files,
git,G,Version control system,
tig,G,Text mode interface for git,
diff-so-fancy,G,Human readable git diff,
i3-wm,I,i3 window tile manager,
i3status,I,i3 status bar,
i3lock,I,i3 lock monitor,
dmenu,I,Dynamic menu for X,
feh,I,X11 image viewer,
xdg-utils,I,Allow application to interact with the desktop,
arc-gtk-theme,I,Desktop themes,
gtk-theme-arc-red,I,Desktop theme... but in red! (AUR),
dunst,I,Notification system,
php,P,PHP programming language,
ruby,P,Ruby programming language,
go,P,Golang programming language,
go-tools,P,Tools for Goland,
npm,P,Infamous javascript package manager,
docker,P,Build ship and run distributed applications,
docker-compose,P,Configuration to run docker multi containers applications,
mariadb,Y,Implementation of Mysql,
mysql-workbench,Y,GUI for mysql,
mycli,Y,command line interface for MySQL (AUR),
neovim,N,Editor... and much more,
python-neovim,N,Python for neovim,
python2-neovim,N,Python2 for neovim,
ruby-neovim,N,Ruby for neovim (AUR),
gnome-keyring,K,Gnome component to store passwords,
libgnome-keyring,K,Library for application to use gnome keyring,
seahorse,K,Gnome keyring GUI,
firefox,B,Browser Firefox,
chromium,B,Browser Chromium,
keepassx,X,Secure password management,
rxvt-unicode,U,Terminal Urxvt,
zsh,Z,Unix shell (Z-Shell),
ripgrep,S,Line oriented search tool (grep improved),
compton,C,Compositor for X - manage transparency,
ranger,R,Terminal based file explorer,
w3m,R,Image preview in Ranger,
owncloud-client,O,Client to connect to every hosting service using Webdav (nextcloud owncloud...),
hugo,H,Static site generator written in Go,
jrnl,J,A simple plain text journal application,
